source,region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,model
cases,Wales,2020-11-09,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-10,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-11,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-12,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-13,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-14,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-15,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-11-16,estimate based on partial data,0.79,0.8,0.1,0.63,0.73,0.77,0.82,0.86,0.96,single breakpoint
cases,Wales,2020-10-24,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-25,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-26,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-27,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-28,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-29,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-30,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-10-31,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-01,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-02,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-03,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-04,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-05,estimate,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-06,estimate based on partial data,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-07,estimate based on partial data,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Wales,2020-11-08,estimate based on partial data,0.84,0.84,0.02,0.81,0.83,0.84,0.85,0.86,0.87,single breakpoint
cases,Northern Ireland,2020-10-16,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-17,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-18,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-19,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-20,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-21,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-22,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-23,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-24,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-25,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-26,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-27,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-28,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-29,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-30,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-10-31,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-01,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-02,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-03,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-04,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-05,estimate,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-06,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-07,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-08,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-09,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-10,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-11,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-12,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-13,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-14,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-15,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-11-16,estimate based on partial data,0.88,0.88,0.02,0.86,0.87,0.88,0.88,0.89,0.91,single breakpoint
cases,Northern Ireland,2020-09-28,estimate,1.07,1.07,0.02,1.03,1.05,1.06,1.07,1.08,1.1,single breakpoint
