source,region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,model
cases,Northern Ireland,2020-10-29,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-10-30,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-10-31,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-01,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-02,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-03,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-04,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-05,estimate,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-06,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-07,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-08,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-09,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-10,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-11,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-12,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-13,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-14,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-15,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-11-16,estimate based on partial data,0.9,0.9,0.01,0.88,0.89,0.9,0.9,0.91,0.92,single breakpoint
cases,Northern Ireland,2020-10-05,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-06,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-07,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-08,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-09,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-10,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-11,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-12,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-13,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-14,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,Northern Ireland,2020-10-15,estimate,0.94,0.95,0.03,0.9,0.92,0.94,0.95,0.97,1,single breakpoint
cases,South West,2020-10-24,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-25,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-26,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-27,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-28,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-29,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-30,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-10-31,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-01,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-02,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-03,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-04,estimate,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-05,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-06,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-07,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-08,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-09,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-10,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-11,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-12,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-13,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-14,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,South West,2020-11-15,estimate based on partial data,1.04,1.04,0.02,1.01,1.03,1.04,1.04,1.05,1.07,single breakpoint
cases,Wales,2020-10-05,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-06,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-07,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-08,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-09,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-10,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-11,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-12,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-13,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-14,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-15,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-16,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-17,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-18,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-19,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-20,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-21,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-22,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,Wales,2020-10-23,estimate,1.12,1.12,0.02,1.09,1.11,1.12,1.12,1.13,1.15,single breakpoint
cases,South West,2020-10-04,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-05,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-06,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-07,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-08,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-09,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-10,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-11,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-12,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-13,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-14,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-15,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-16,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-17,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-18,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-19,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-20,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-21,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-22,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
cases,South West,2020-10-23,estimate,1.13,1.13,0.02,1.1,1.11,1.12,1.13,1.14,1.15,single breakpoint
admissions,Northern Ireland,2020-10-16,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-17,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-18,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-19,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-20,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-21,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-22,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-23,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-24,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-25,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-26,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-27,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-28,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-29,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-30,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-10-31,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-01,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-02,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-03,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-04,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-05,estimate,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-06,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-07,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-08,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-09,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-10,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-11,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-12,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-13,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-14,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-15,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Northern Ireland,2020-11-16,estimate based on partial data,0.91,0.91,0.05,0.83,0.88,0.9,0.93,0.95,1,single breakpoint
admissions,Wales,2020-10-24,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-25,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-26,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-27,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-28,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-29,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-30,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-10-31,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-01,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-02,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-03,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-04,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-05,estimate,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-06,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-07,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-08,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-09,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-10,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-11,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-12,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-13,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-14,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-15,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Wales,2020-11-16,estimate based on partial data,0.94,0.94,0.03,0.9,0.93,0.94,0.95,0.96,0.99,single breakpoint
admissions,Northern Ireland,2020-10-05,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-06,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-07,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-08,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-09,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-10,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-11,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-12,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-13,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-14,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Northern Ireland,2020-10-15,estimate,1.06,1.07,0.1,0.92,0.99,1.03,1.09,1.14,1.26,single breakpoint
admissions,Wales,2020-10-05,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-06,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-07,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-08,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-09,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-10,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-11,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-12,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-13,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-14,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-15,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-16,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-17,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-18,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-19,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-20,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-21,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-22,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,Wales,2020-10-23,estimate,1.13,1.13,0.03,1.09,1.12,1.13,1.14,1.15,1.18,single breakpoint
admissions,South West,2020-10-24,estimate,1.17,1.17,0.03,1.12,1.15,1.16,1.18,1.19,1.22,single breakpoint
admissions,South West,2020-10-25,estimate,1.17,1.17,0.03,1.12,1.15,1.16,1.18,1.19,1.22,single breakpoint
admissions,South West,2020-10-26,estimate,1.17,1.17,0.03,1.12,1.15,1.16,1.18,1.19,1.22,single breakpoint
